H_mean,S_mean,V_mean,Agtron
43,113,59,35
30,52,184,95
16,134,173,65
20,105,201,85
31,122,85,45
112,106,43,35
123,118,33,25
22,145,163,65
22,140,152,55
43,135,116,45
42,161,78,35
55,156,66,25
13,171,143,55
12,183,114,55
19,177,89,45
43,113,88,45
42,110,76,53
37,107,51,25
33,107,34,25
17,181,237,95
12,214,222,95
13,208,218,85
9,220,198,75
10,210,152,65
10,213,132,55
8,222,108,45
12,224,72,35
12,208,36,25
12,192,154,65
17,147,120,85
14,171,112,55
15,145,151,85
15,144,132,85
14,167,138,75
16,157,124,75
15,148,130,75
14,147,125,75
14,160,155,65
14,172,200,85
14,166,157,75
17,171,70,35
30,158,70,35
33,161,61,35
35,172,33,25
22,87,151,95
18,118,188,95
17,120,162,95
16,107,130,85
23,67,95,65
18,137,137,95
15,156,187,85
14,174,155,75
26,164,110,65
35,152,82,55
31,168,71,45
41,149,64,45
35,141,72,35
42,141,60,35
99,114,38,25
15,132,86,55
12,153,123,75
18,85,138,95
35,112,29,25
11,134,56,45
9,143,73,65
29,94,146,95
26,99,149,95
18,166,170,75
22,145,97,65
39,120,66,55
19,159,164,95
19,158,116,85
35,119,76,65
68,93,45,35
20,151,158,95
17,165,126,85
32,118,78,75
54,94,53,35
23,124,151,95
18,173,135,75
31,131,78,55
47,106,53,45
17,175,147,85
28,132,85,75
