R_mean,G_mean,B_mean,Agtron
56,42,33,Agtron 35
184,170,151,Agtron 95
173,121,83,Agtron 65
201,165,119,Agtron 85
85,55,45,Agtron 45
40,30,35,Agtron 35
25,22,32,Agtron 25
163,109,75,Agtron 65
151,96,72,Agtron 55
116,70,62,Agtron 45
77,42,36,Agtron 35
64,39,37,Agtron 25
143,81,52,Agtron 55
114,59,39,Agtron 55
89,46,34,Agtron 45
88,59,53,Agtron 45
75,53,48,Agtron 55
50,39,36,Agtron 25
34,27,26,Agtron 25
237,165,71,Agtron 95
222,116,38,Agtron 95
218,124,43,Agtron 85
198,86,31,Agtron 75
152,75,35,Agtron 65
132,66,31,Agtron 55
108,48,22,Agtron 45
72,33,16,Agtron 35
36,17,10,Agtron 25
154,82,47,Agtron 65
120,92,63,Agtron 85
112,66,45,Agtron 55
151,112,77,Agtron 85
131,96,70,Agtron 85
138,92,59,Agtron 75
124,83,61,Agtron 75
130,94,67,Agtron 75
125,88,63,Agtron 75
155,107,67,Agtron 65
199,130,73,Agtron 85
157,101,67,Agtron 75
70,33,28,Agtron 35
70,34,30,Agtron 35
61,32,29,Agtron 35
33,14,13,Agtron 25
150,136,101,Agtron 95
188,154,104,Agtron 95
162,126,88,Agtron 95
130,102,75,Agtron 85
95,80,70,Agtron 65
137,108,71,Agtron 95
187,135,80,Agtron 85
155,89,53,Agtron 75
109,62,41,Agtron 65
82,48,36,Agtron 55
71,36,26,Agtron 45
64,36,29,Agtron 45
72,43,36,Agtron 35
60,35,30,Agtron 35
37,25,26,Agtron 25
85,61,50,Agtron 55
123,82,55,Agtron 75
138,123,99,Agtron 95
29,20,19,Agtron 25
56,37,32,Agtron 45
73,48,37,Agtron 65
144,139,95,Agtron 95
148,138,93,Agtron 95
170,125,60,Agtron 75
96,62,38,Agtron 65
64,46,34,Agtron 55
164,125,63,Agtron 95
116,74,42,Agtron 85
74,54,38,Agtron 65
39,37,35,Agtron 35
158,125,66,Agtron 95
126,81,43,Agtron 85
77,55,40,Agtron 75
49,43,38,Agtron 35
151,131,79,Agtron 95
135,85,40,Agtron 75
76,52,35,Agtron 55
50,39,33,Agtron 45
147,97,44,Agtron 85
84,58,38,Agtron 75
