ID,Device,Height,Width,Num_sample,Lighting_condition,R_mean,G_mean,B_mean,Paper_R_mean,Paper_G_mean,Paper_B_mean,H_mean,S_mean,V_mean,Paper_H_mean,Paper_S_mean,Paper_V_mean,Agtron_value
0,iPhone 8,820,820,1,Luz,30,36,45,167,173,176,107,91,45,101,13,176,25
1,iPhone 8,820,820,1,Luz,29,40,56,167,173,176,108,126,56,101,13,176,35
2,iPhone 8,820,820,1,Luz,29,43,63,167,173,176,108,141,63,101,13,176,45
3,iPhone 8,820,820,1,Luz,31,48,73,167,173,176,108,150,73,101,13,176,55
4,iPhone 8,820,820,1,Luz,29,54,80,167,173,176,106,168,80,101,13,176,65
5,iPhone 8,820,820,1,Luz,31,58,85,167,173,176,106,165,85,101,13,176,75
6,iPhone 8,820,820,1,Luz,32,63,90,167,173,176,104,169,90,101,13,176,85
7,iPhone 8,820,820,1,Flash,33,40,51,232,239,237,108,99,51,83,6,239,25
8,iPhone 8,820,820,1,Flash,33,45,63,232,239,237,109,131,63,83,6,239,35
9,iPhone 8,820,820,1,Flash,32,47,70,232,239,237,109,143,70,83,6,239,45
10,iPhone 8,820,820,1,Flash,35,55,83,232,239,237,108,152,83,83,6,239,55
11,iPhone 8,820,820,1,Flash,37,61,89,232,239,237,106,158,89,83,6,239,65
12,iPhone 8,820,820,1,Flash,34,59,87,232,239,237,106,162,87,83,6,239,75
13,iPhone 8,820,820,1,Flash,32,59,85,232,239,237,105,166,85,83,6,239,85
14,Motorola X4,820,820,1,Luz,18,20,28,172,171,172,112,103,28,106,2,172,25
15,Motorola X4,820,820,1,Luz,18,24,40,172,171,172,112,149,40,106,2,172,35
16,Motorola X4,820,820,1,Luz,19,29,51,172,171,172,111,167,51,106,2,172,45
17,Motorola X4,820,820,1,Luz,20,34,59,172,171,172,110,179,59,106,2,172,55
18,Motorola X4,820,820,1,Luz,25,44,72,172,171,172,108,179,72,106,2,172,65
19,Motorola X4,820,820,1,Luz,22,42,72,172,171,172,108,188,72,106,2,172,75
20,Motorola X4,820,820,1,Luz,26,51,79,172,171,172,106,182,79,106,2,172,85
21,Motorola X4,820,820,1,Flash,12,16,25,168,171,172,110,139,25,95,6,172,25
22,Motorola X4,820,820,1,Flash,13,22,39,168,171,172,110,180,39,95,6,172,35
23,Motorola X4,820,820,1,Flash,15,29,53,168,171,172,110,192,53,95,6,172,45
24,Motorola X4,820,820,1,Flash,19,36,68,168,171,172,110,194,68,95,6,172,55
25,Motorola X4,820,820,1,Flash,24,49,79,168,171,172,107,192,79,95,6,172,65
26,Motorola X4,820,820,1,Flash,20,46,80,168,171,172,107,200,80,95,6,172,75
27,Motorola X4,820,820,1,Flash,21,52,83,168,171,172,105,198,83,95,6,172,85
28,Redmi 5A,726,726,1,Luz,16,23,38,153,154,158,110,157,38,115,8,158,25
29,Redmi 5A,726,726,2,Luz,15,21,30,153,154,158,108,134,30,115,8,158,25
30,Redmi 5A,726,726,1,Luz,16,23,38,153,154,158,110,157,38,115,8,158,35
31,Redmi 5A,726,726,1,Luz,18,31,52,153,154,158,109,171,52,115,8,158,45
32,Redmi 5A,726,726,1,Luz,20,35,62,153,154,158,110,179,62,115,8,158,55
33,Redmi 5A,726,726,1,Luz,22,40,66,153,154,158,108,177,66,115,8,158,65
34,Redmi 5A,726,726,1,Luz,20,41,68,153,154,158,108,186,68,115,8,158,75
35,Redmi 5A,726,726,1,Luz,23,46,73,153,154,158,107,180,73,115,8,158,85
36,Redmi 5A,726,726,1,Flash,30,40,49,177,166,168,104,109,49,159,15,177,25
37,Redmi 5A,726,726,1,Flash,28,42,57,177,166,168,106,137,57,159,15,177,35
38,Redmi 5A,726,726,1,Flash,31,50,70,177,166,168,106,148,70,159,15,177,45
39,Redmi 5A,726,726,1,Flash,32,54,78,177,166,168,106,155,78,159,15,177,55
40,Redmi 5A,726,726,1,Flash,34,62,86,177,166,168,104,161,86,159,15,177,65
41,Redmi 5A,726,726,1,Flash,34,64,86,177,166,168,103,160,86,159,15,177,75
42,Xiaomi Mi9,820,820,1,Luz,31,37,47,196,200,201,106,101,47,95,6,201,25
43,Xiaomi Mi9,820,820,1,Luz,32,43,61,196,200,201,107,130,61,95,6,201,35
44,Xiaomi Mi9,820,820,1,Luz,32,49,72,196,200,201,107,146,72,95,6,201,45
45,Xiaomi Mi9,820,820,1,Luz,33,55,83,196,200,201,107,160,83,95,6,201,55
46,Xiaomi Mi9,820,820,1,Luz,36,62,89,196,200,201,106,162,89,95,6,201,65
47,Xiaomi Mi9,820,820,1,Luz,34,62,92,196,200,201,106,170,92,95,6,201,75
48,Xiaomi Mi9,820,820,1,Luz,35,65,90,196,200,201,104,164,90,95,6,201,85
49,Xiaomi Mi9,820,820,1,Flash,30,37,49,198,203,206,109,115,49,98,10,206,25
50,Xiaomi Mi9,820,820,1,Flash,32,45,66,198,203,206,109,143,66,98,10,206,35
51,Xiaomi Mi9,820,820,1,Flash,31,50,76,198,203,206,108,159,76,98,10,206,45
52,Xiaomi Mi9,820,820,1,Flash,31,54,84,198,203,206,108,169,84,98,10,206,55
53,Xiaomi Mi9,820,820,1,Flash,33,59,88,198,203,206,106,169,88,98,10,206,65
54,Xiaomi Mi9,820,820,1,Flash,31,60,90,198,203,206,106,178,90,98,10,206,75
55,Xiaomi Mi9,820,820,1,Flash,33,64,91,198,203,206,104,170,91,98,10,206,85
